KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K09052,CREM; cAMP response element modulator,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K09053,ATF1; activating transcription factor 1,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K09054,ATF6A; cyclic AMP-dependent transcription factor ATF-6 alpha,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K16230,HAC1; transcriptional activator HAC1,Eukaryotic type,Basic leucine zipper (bZIP),CREB
K09055,"CEBPA; CCAAT/enhancer binding protein (C/EBP), alpha",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K10048,"CEBPB; CCAAT/enhancer binding protein (C/EBP), beta",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K10049,"CEBPG; CCAAT/enhancer binding protein (C/EBP), gamma",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K10050,"CEBPD; CCAAT/enhancer binding protein (C/EBP), delta",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K10051,"CEBPE; CCAAT/enhancer binding protein (C/EBP), epsilon",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K10052,"CEBPN; CCAAT/enhancer binding protein (C/EBP), invertebrate",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K23479,"CCAAT/enhancer binding protein (C/EBP), other",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K04452,"DDIT3, GADD153; DNA damage-inducible transcript 3",Eukaryotic type,Basic leucine zipper (bZIP),C/EBP-like factors
K09056,DBP; albumin D box-binding protein,Eukaryotic type,Basic leucine zipper (bZIP),bZIP/PAR
K09057,HLF; hepatic leukemia factor,Eukaryotic type,Basic leucine zipper (bZIP),bZIP/PAR
K09058,TEF; thyrotrophic embryonic factor,Eukaryotic type,Basic leucine zipper (bZIP),bZIP/PAR
K09059,"NFIL3, E4BP4; nuclear factor, interleukin 3 regulated",Eukaryotic type,Basic leucine zipper (bZIP),bZIP/PAR
K14432,ABF; ABA responsive element binding factor,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K14431,TGA; transcription factor TGA,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K09060,GBF; plant G-box-binding factor,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K16241,HY5; transcription factor HY5,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K20557,VIP1; transcription factor VIP1,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K25786,BZIP1S; bZIP transcription factor 1/2/11/44/53,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K25784,BZIP9_10_25_63; bZIP transcription factor 9/10/25/63,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K25783,BZIP17_28_49; bZIP transcription factor 17/28/49,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K25785,BZIP19_23_24; bZIP transcription factor 19/23/24,Eukaryotic type,Basic leucine zipper (bZIP),Plant bZIP factors
K09061,"GCF, C2orf3; GC-rich sequence DNA-binding factor",Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K12114,VRI; vrille,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K09062,GT; protein giant,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K27348,CES-2; transcription factor Ces-2,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K06649,SWI4; regulatory protein SWI4,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K06648,SWI6; regulatory protein SWI6,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K21642,OPI1; transcriptional repressor OPI1,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K21646,GCR1; glycolytic genes transcriptional activator GCR1,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K21671,GCR2; glycolytic genes transcriptional activator GCR2,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K21451,XLNR; xylanolytic transcriptional activator XlnR,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K21452,MBZ1; bZIP-type transcription factor MBZ1,Eukaryotic type,Basic leucine zipper (bZIP),ZIP only
K09063,"TCF3, E2A; transcription factor E2-alpha",Eukaryotic type,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
K15603,TCF4_12; transcription factor 4/12,Eukaryotic type,Basic helix-loop-helix (bHLH),Ubiquitous (class A) factors
K09064,"MYOD1, MYF3; myogenic factor 3",Eukaryotic type,Basic helix-loop-helix (bHLH),Myogenic transcription factors
K18483,"MYF4, MYOG; myogenic factor 4 (myogenin)",Eukaryotic type,Basic helix-loop-helix (bHLH),Myogenic transcription factors
K18484,MYF5; myogenic factor 5,Eukaryotic type,Basic helix-loop-helix (bHLH),Myogenic transcription factors
K18485,"MYF6, MRF4; myogenic factor 6",Eukaryotic type,Basic helix-loop-helix (bHLH),Myogenic transcription factors
K09066,FIGLA; factor in the germline alpha,Eukaryotic type,Basic helix-loop-helix (bHLH),Myogenic transcription factors
K09067,ASCL; achaete-scute complex protein,Eukaryotic type,Basic helix-loop-helix (bHLH),Achaete-Scute
K09068,TAL; T-cell acute lymphocytic leukemia protein,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Lymphoid factors"
K15604,LYL1; protein lyl-1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Lymphoid factors"
K09069,TWIST; twist,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09070,"TCF15, PARAXIS; transcription factor 15",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09071,HAND1; heart-and neural crest derivatives-expressed protein 1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K18486,HAND2; heart-and neural crest derivatives-expressed protein 2,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09072,MSC; musculin (activated B-cell factor-1),Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09073,PTF1A; pancreas-specific transcription factor 1a,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K22400,FERD3L; Fer3-like protein,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09074,TYE7; fungal twist-like factor,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors"
K09075,"NHLH, HEN, NSCL; nescient helix-loop-helix protein",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, HEN"
K09076,MESP; mesoderm posterior,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesp"
K09077,MSGN1; mesogenin 1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Mesp"
K08033,NEUROD1; neurogenic differentiation factor 1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09078,NEUROD2; neurogenic differentiation factor 2,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09079,"NEUROD4, ATOH3, MATH3; neurogenic differentiation factor 4",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09080,"NEUROD6, ATOH2, MATH2; neurogenic differentiation factor 6",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09081,NEUROG1; neurogenin 1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09082,NEUROG2; neurogenin 2,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K08028,NEUROG3; neurogenin 3,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09083,ATOH1_7; atonal protein 1/7,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09084,ATOH8; atonal protein 8,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K24145,BHLHA9; class A basic helix-loop-helix protein 9,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09085,BHLHB1_6_7; class B basic helix-loop-helix protein 1/6/7,Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K08040,"BHLHB8, MIST1; class B basic helix-loop-helix protein 8",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Atonal"
K09086,"BHLHB4_5, BETA; class B basic helix-loop-helix protein 4/5",Eukaryotic type,Basic helix-loop-helix (bHLH),"Tal/Twist/Atonal/Hen, Pancreatic factors"
K06054,HES1; hairy and enhancer of split 1,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09087,HES2_6_7; hairy and enhancer of split 2/6/7,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09088,HES3; hairy and enhancer of split 3,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09089,HES4; hairy and enhancer of split 4,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K06055,HES5; hairy and enhancer of split 5,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09090,"HESN; hairy and enhancer of split, invertebrate",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09091,HEY; hairy and enhancer of split related with YRPW motif,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K03729,"BHLHB2, DEC1; class B basic helix-loop-helix protein 2",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K03730,"BHLHB3, DEC2; class B basic helix-loop-helix protein 3",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K09092,"TCFL5, CHA; transcription factor-like 5",Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K27237,CWO; transcription factor CWO,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Hairy/E(SPL)"
K06658,PHO4; phosphate system positive regulatory protein PHO4,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Fungal regulators"
K06654,PHO80; phosphate system cyclin PHO80,Eukaryotic type,Basic helix-loop-helix (bHLH),"Hairy, Fungal regulators"
K09093,AHR; aryl hydrocarbon receptor,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09094,"AHRR, AHH; aryl hydrocarbon receptor repressor",Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K08268,HIF1A; hypoxia-inducible factor 1 alpha,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09095,"HIF2A, EPAS1; hypoxia-inducible factor 2 alpha",Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09096,HIF3A; hypoxia-inducible factor 3 alpha,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09097,ARNT; aryl hydrocarbon receptor nuclear translocator,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K15589,ARNT2; aryl hydrocarbon receptor nuclear translocator 2,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09098,NPAS1_3; neuronal PAS domain-containing protein 1/3,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09026,NPAS2; neuronal PAS domain-containing protein 2,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K26457,NPAS4; neuronal PAS domain-containing protein 4,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K02223,"CLOCK, KAT13D; circadian locomoter output cycles kaput protein [EC:2.3.1.48]",Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K02296,"ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1",Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09099,"ARNTL2, BMAL2; aryl hydrocarbon receptor nuclear translocator-like protein 2",Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K09100,SIM; single-minded,Eukaryotic type,Basic helix-loop-helix (bHLH),Factors with PAS domain
K25796,YAB; plant-specific transcription factor YABBY family protein,Eukaryotic type,Basic helix-loop-helix (bHLH),Yabby
K09102,INO; heteromeric Ino2p/Ino4p transcription factor,Eukaryotic type,Basic helix-loop-helix (bHLH),INO
K04680,ID1; DNA-binding protein inhibitor ID1,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K17693,ID2; DNA-binding protein inhibitor ID2,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K17694,ID3; DNA-binding protein inhibitor ID3,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K17695,ID4; DNA-binding protein inhibitor ID4,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K17696,"EMC; DNA-binding protein inhibitor ID, other",Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K09103,"EBF, COE; early B-cell factor",Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K21626,"CCNDBP1, DIP1, GCIP; cyclin-D1-binding protein 1",Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K22495,SOHLH1; spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K12126,PIF3; phytochrome-interacting factor 3,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K16189,PIF4; phytochrome-interacting factor 4,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K13422,MYC2; transcription factor MYC2,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K20558,SPCH; transcription factor SPEECHLESS,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K26213,FAMA; transcription factor FAMA,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K26214,FIT; transcription factor FER-LIKE IRON,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K09104,TX; delilah,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K22484,CBF1; transcriptional regulator CBF1,Eukaryotic type,Basic helix-loop-helix (bHLH),HLH domain only
K09105,TFE3; transcription factor E3,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K15590,TFEB; transcription factor EB,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K15591,TFEC; transcription factor EC,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K09455,MITF; microphthalmia-associated transcription factor,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K09106,USF; upstream stimulatory factor,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K07197,"SREBP1, SREBF1; sterol regulatory element-binding transcription factor 1",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K09107,"SREBP2, SREBF2; sterol regulatory element-binding transcription factor 2",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K09108,TFAP4; transcription factor AP-4,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Ubiquitous bHLH-ZIP factors
K04377,MYC; Myc proto-oncogene protein,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Myc"
K09109,"NMYC, MYCN; N-myc proto-oncogene protein",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Myc"
K09110,"LMYC, MYCL; L-myc proto-oncogene protein",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Myc"
K09111,"BMYC, MYCB; brain expressed myelocytomatosis oncogene",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Myc"
K09112,"SMYC, MYCS; myc-like oncogene",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Myc"
K04453,MAX; Max protein,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Mad/Max"
K09113,MLX; MAX-like protein X,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Mad/Max"
K09114,"MXD, MAD; MAX dimerization protein",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Mad/Max"
K09115,"MNT, ROX; MAX-binding protein",Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),"Cell cycle controlling factors, Mad/Max"
K17482,SPZ1; spermatogenic leucine zipper protein 1,Eukaryotic type,Basic helix-loop-helix/leucine zipper (bHLH-ZIP),Other bHLH-ZIP factors
K09168,NFIA; nuclear factor I/A,Eukaryotic type,Other basic domains,NF-1
K09169,NFIB; nuclear factor I/B,Eukaryotic type,Other basic domains,NF-1
K09170,NFIC; nuclear factor I/C,Eukaryotic type,Other basic domains,NF-1
K09171,NFIX; nuclear factor I/X,Eukaryotic type,Other basic domains,NF-1
K09172,"NFIN; nuclear factor I, invertebrate",Eukaryotic type,Other basic domains,NF-1
K09173,RFX1_2_3; regulatory factor X 1/2/3,Eukaryotic type,Other basic domains,RF-X
K09174,RFX4; regulatory factor X 4,Eukaryotic type,Other basic domains,RF-X
K08061,RFX5; regulatory factor X 5,Eukaryotic type,Other basic domains,RF-X
K19521,RFX6; regulatory factor X 6,Eukaryotic type,Other basic domains,RF-X
K09175,RFX7; DNA-binding protein RFX7,Eukaryotic type,Other basic domains,RF-X
K09176,TFAP2A_B; transcription factor AP-2 alpha/beta,Eukaryotic type,Other basic domains,AP-2 (bHSH)
K09177,TFAP2C; transcription factor AP-2 gamma,Eukaryotic type,Other basic domains,AP-2 (bHSH)
K09178,TFAP2D; transcription factor AP-2 delta,Eukaryotic type,Other basic domains,AP-2 (bHSH)
K09179,TFAP2E; transcription factor AP-2 epsilon,Eukaryotic type,Other basic domains,AP-2 (bHSH)
K09180,"TFAP2N; transcription factor AP-2, invertebrate",Eukaryotic type,Other basic domains,AP-2 (bHSH)
K05547,"THRA, NR1A1; thyroid hormone receptor alpha",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08362,"THRB, NR1A2; thyroid hormone receptor beta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08527,"RARA, NR1B1; retinoic acid receptor alpha",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08528,"RARB, NR1B2; retinoic acid receptor beta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08529,"RARG, NR1B3; retinoic acid receptor gamma",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K07294,"NR1C1, PPARA; peroxisome proliferator-activated receptor alpha",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K04504,"NR1C2, PPARD; peroxisome proliferator-activated receptor delta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08530,"NR1C3, PPARG; peroxisome proliferator-activated receptor gamma",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K03728,NR1D1; nuclear receptor subfamily 1 group D member 1,Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08531,NR1D2; nuclear receptor subfamily 1 group D member 2,Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08701,NR1D3; nuclear receptor subfamily 1 group D member 3,Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08532,"NR1F1, RORA; RAR-related orphan receptor alpha",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08533,"NR1F2, RORB; RAR-related orphan receptor beta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08534,"NR1F3, RORC; RAR-related orphan receptor gamma",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K14033,NR1F4; nuclear receptor subfamily 1 group F member 4,Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08536,"NR1H3, LXRA; liver X receptor alpha",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08535,"NR1H2, LXRB; liver X receptor beta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08537,"NR1H4, FXR; farnesoid X receptor",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08538,"NR1H5, FXRB; farnesoid X receptor beta",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K14034,"NR1H1, EcR; ecdysone receptor",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08539,"VDR, NR1I1; vitamin D3 receptor",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08540,"NR1I2, PXR; pregnane X receptor",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K08541,"NR1I3, CAR; constitutive androstane receptor",Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K14035,NR1IN; nuclear receptor subfamily 1 group I,Eukaryotic type,Zinc finger,Cys4 thyroid hormone receptor-like
K07292,"NR2A1, HNF4A; hepatocyte nuclear factor 4-alpha",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08037,"NR2A2, HNF4G; hepatocyte nuclear factor 4-gamma",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08542,"NR2A3, HNF4B; hepatocyte nuclear factor 4-beta",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
K08704,"NR2A4, Hnf4; hepatocyte nuclear factor 4",Eukaryotic type,Zinc finger,Cys4 hepatocyte nuclear factor 4-like
